"EntityNumber","TypeOfAddress","CountryNL","CountryFR","Zipcode","MunicipalityNL","MunicipalityFR","StreetNL","StreetFR","HouseNumber","Box","ExtraAddressInfo","DateStrikingOff"
"2.391.622.496","BAET",,,"4140","Sprimont","Sprimont","Rue de Xhygnez","Rue de Xhygnez","1","","",
"2.391.638.433","BAET",,,"2320","Hoogstraten","Hoogstraten","Katelijnestraat","Katelijnestraat","31","","",
"2.391.641.896","BAET",,,"2220","Heist-op-den-Berg","Heist-op-den-Berg","Perzikstraat","Perzikstraat","7","","",
"2.391.662.583","BAET",,,"4300","Waremme","Waremme","Avenue Guillaume Joachim","Avenue Guillaume Joachim","57","","",
"2.391.676.738","BAET",,,"5575","Gedinne","Gedinne","Rue de la Gare, L.-S.-D.","Rue de la Gare, L.-S.-D.","9","","",
"2.391.678.223","BAET",,,"1450","Chastre","Chastre","Rue de Corsal","Rue de Corsal","155","","",
"2.391.688.715","BAET",,,"2500","Lier","Lier","Berlaarsestraat","Berlaarsestraat","28","","",
"2.391.697.524","BAET",,,"2600","Antwerpen","Antwerpen","Generaal Van Merlenstraat","Generaal Van Merlenstraat","32","","",
"2.391.698.811","BAET",,,"4300","Waremme","Waremme","Rue de Huy","Rue de Huy","1a","","",
"2.391.698.910","BAET",,,"7870","Lens (Hainaut)","Lens (Hainaut)","Rue des Alliés(L)","Rue des Alliés(L)","1","","",
"2.391.713.360","BAET",,,"8400","Oostende","Oostende","Stroombanklaan","Stroombanklaan","43","","",
"2.391.715.934","BAET",,,"4870","Trooz","Trooz","Rue Franklin Roosevelt","Rue Franklin Roosevelt","301","","",
