"EntityNumber","TypeOfAddress","CountryNL","CountryFR","Zipcode","MunicipalityNL","MunicipalityFR","StreetNL","StreetFR","HouseNumber","Box","ExtraAddressInfo","DateStrikingOff"
"0440.061.680","REGO",,,"9100","Sint-Niklaas","Sint-Niklaas","Parkstraat","Parkstraat","13","","",
"0440.396.529","REGO",,,"2018","Antwerpen","Antwerpen","Plantin en Moretuslei","Plantin en Moretuslei","12","","",
"0444.495.570","REGO",,,"4671","Blégny","Blégny","Rue Haie delle Praye","Rue Haie delle Praye","27","","",
"0444.634.538","REGO",,,"2240","Zandhoven","Zandhoven","Hovenierspad","Hovenierspad","3","","",
"0448.948.662","REGO",,,"1380","Lasne","Lasne","Rue de la Gendarmerie","Rue de la Gendarmerie","10","1","",
"0449.059.817","REGO",,,"8530","Harelbeke","Harelbeke","Overleiestraat","Overleiestraat","3","","",
"0449.678.043","REGO",,,"9300","Aalst","Aalst","Vlaanderenstraat","Vlaanderenstraat","11","","",
"0450.310.028","REGO",,,"3000","Leuven","Leuven","Tiensesteenweg","Tiensesteenweg","294","","",
"0454.118.960","REGO",,,"4020","Liège","Liège","Bld Emile-de-Laveleye","Bld Emile-de-Laveleye","191","","Science Park Sart-Tilman",
"0455.818.341","REGO",,,"8510","Kortrijk","Kortrijk","Rollegemseweg(Rol)","Rollegemseweg(Rol)","100","","",
"0456.065.492","REGO",,,"1325","Chaumont-Gistoux","Chaumont-Gistoux","Chaussée de Huy","Chaussée de Huy","17","3","",
"0456.456.660","REGO",,,"1050","Brussel","Bruxelles","Louizalaan","Avenue Louise","231","","",
"0457.328.670","REGO",,,"1050","Elsene","Ixelles","Louizalaan","Avenue Louise","500","","",19-06-2026
"0457.976.293","REGO",,,"9450","Haaltert","Haaltert","Pontweg(HA)","Pontweg(HA)","33","","",
"0458.215.825","REGO",,,"9120","Beveren-Kruibeke-Zwijndrecht","Beveren-Kruibeke-Zwijndrecht","Kerkendam(MEL)","Kerkendam(MEL)","4","","",
"0461.577.864","REGO",,,"1000","Brussel","Bruxelles","Europakruispunt","Carrefour de l'Europe","3","","",
"0462.295.862","REGO",,,"1082","Sint-Agatha-Berchem","Berchem-Sainte-Agathe","Groot-Bijgaardenstraat","Rue de Grand-Bigard","14","","",12-05-2026
"0463.940.508","REGO",,,"8800","Roeselare","Roeselare","Kwadestraat","Kwadestraat","149","0.1","",19-06-2026
"0465.756.584","REGO",,,"8400","Oostende","Oostende","Victorialaan","Victorialaan","7","1402","",
"0467.537.426","REGO",,,"1420","Braine-l'Alleud","Braine-l'Alleud","Avenue de Finlande","Avenue de Finlande","8","","Parc de l'Alliance - Bâtiment B",
"0472.249.745","REGO",,,"1000","Brussel","Bruxelles","Stalingradlaan","Avenue de Stalingrad","52","","",19-06-2026
"0473.480.655","REGO",,,"6690","Vielsalm","Vielsalm","Ville-du-Bois","Ville-du-Bois","166","","",
"0474.543.497","REGO",,,"4030","Liège","Liège","Avenue de Péville","Avenue de Péville","317","","",19-06-2026
"0478.068.458","REGO",,,"9230","Wetteren","Wetteren","Jan Broeckaertlaan","Jan Broeckaertlaan","50","","",
"0502.485.140","REGO",,,"9000","Gent","Gent","Hubert Frère-Orbanlaan","Hubert Frère-Orbanlaan","295","","",
"0506.990.591","REGO",,,"1380","Lasne","Lasne","Chaussée de Louvain","Chaussée de Louvain","420","","",19-06-2026
"0524.886.794","REGO",,,"8800","Roeselare","Roeselare","Kwadestraat","Kwadestraat","149","","",19-06-2026
"0537.505.209","REGO",,,"1082","Sint-Agatha-Berchem","Berchem-Sainte-Agathe","Gentsesteenweg","Chaussée de Gand","1224","","",19-06-2026
"0546.685.169","REGO",,,"5504","Dinant","Dinant","Boisseilles","Boisseilles","19","B","",
"0551.962.365","REGO",,,"7521","Tournai","Tournai","Rue Carlos Gallaix(CH)","Rue Carlos Gallaix(CH)","233","","",
"0556.654.888","REGO",,,"1040","Etterbeek","Etterbeek","Jachtlaan","Avenue de la Chasse","135","","",19-06-2026
"0562.757.772","REGO",,,"9140","Temse","Temse","Molenstraat","Molenstraat","26","","",
"0565.941.352","REGO",,,"1040","Etterbeek","Etterbeek","Louis Schmidtlaan","Boulevard Louis Schmidt","119","","",
"0567.668.645","REGO",,,"1190","Vorst","Forest","Oude Vijversstraat","Rue des Anciens Etangs","55","1","",
"0568.846.404","REGO",,,"7020","Mons","Mons","Rue Grande","Rue Grande","2.1","","",
"0630.822.771","REGO",,,"9820","Merelbeke-Melle","Merelbeke-Melle","Gaversesteenweg","Gaversesteenweg","523","","",
"0631.949.951","REGO",,,"1420","Braine-l'Alleud","Braine-l'Alleud","Avenue de l'Artisanat","Avenue de l'Artisanat","2A","B3","",
"0632.543.829","REGO",,,"3012","Leuven","Leuven","Wijgmaalsesteenweg","Wijgmaalsesteenweg","12","","",
"0641.821.185","REGO",,,"2340","Beerse","Beerse","Houtseweg","Houtseweg","133","","",
"0644.748.706","REGO",,,"6840","Neufchâteau","Neufchâteau","Chaussée de Recogne,NEU","Chaussée de Recogne,NEU","54","","",
"0644.952.010","REGO",,,"6700","Arlon","Arlon","Bonnert, rue de la Côte-Rouge","Bonnert, rue de la Côte-Rouge","20","","",
"0645.829.067","REGO",,,"1730","Asse","Asse","Brusselsesteenweg","Brusselsesteenweg","18","A","",19-06-2026
"0647.807.372","REGO",,,"3660","Oudsbergen","Oudsbergen","Gommersstraat","Gommersstraat","1","","",
"0654.959.341","REGO",,,"3500","Hasselt","Hasselt","Maastrichtersteenweg","Maastrichtersteenweg","65","","",
"0656.741.666","REGO",,,"1210","Sint-Joost-ten-Node","Saint-Josse-ten-Noode","Hulpstraat","Rue des Secours","21","B2","",
"0656.970.805","REGO",,,"1050","Elsene","Ixelles","Louizalaan","Avenue Louise","500","123","",19-06-2026
"0660.683.727","REGO",,,"1831","Machelen (Brab.)","Machelen (Brab.)","De Kleetlaan","De Kleetlaan","5 BC","","REGUS BRUSSELS AIRPORT",
"0660.920.089","REGO",,,"5070","Fosses-la-Ville","Fosses-la-Ville","Rue des Zolos","Rue des Zolos","20","","",
"0662.935.810","REGO","Duitsland (Bondsrep.)","Allemagne (Rép.féd.)","67063","Ludwigshafen am Rhein","Ludwigshafen am Rhein","Industriestrasse","Industriestrasse","51","b","",
"0663.788.420","REGO",,,"9400","Ninove","Ninove","Kruisvijverstraat","Kruisvijverstraat","18","","",
"0666.744.247","REGO",,,"1050","Elsene","Ixelles","Louizalaan","Avenue Louise","231","","",
"0667.503.025","REGO",,,"1050","Elsene","Ixelles","Louizalaan","Avenue Louise","231","","",
"0671.493.089","REGO",,,"2870","Puurs-Sint-Amands","Puurs-Sint-Amands","Veurtstraat","Veurtstraat","7","","",
"0672.651.151","REGO",,,"8800","Roeselare","Roeselare","Kwadestraat","Kwadestraat","149","0.1","",19-06-2026
"0672.867.323","REGO",,,"1932","Zaventem","Zaventem","Leuvensesteenweg","Leuvensesteenweg","246","1","",19-06-2026
"0672.935.124","REGO",,,"2800","Mechelen","Mechelen","Antwerpsesteenweg","Antwerpsesteenweg","261","9","",
"0674.637.671","REGO",,,"2870","Puurs-Sint-Amands","Puurs-Sint-Amands","Schoonmansveld","Schoonmansveld","48","","",
"0674.850.873","REGO",,,"3520","Zonhoven","Zonhoven","Engstegenseweg","Engstegenseweg","45","","",
"0681.706.102","REGO",,,"4845","Jalhay","Jalhay","Stockay(SART)","Stockay(SART)","8","A","",
"0695.643.319","REGO",,,"1070","Anderlecht","Anderlecht","Louis van Beethovenstraat","Rue Louis van Beethoven","25","","",19-06-2026
"0695.785.651","REGO",,,"8400","Oostende","Oostende","Zilverlaan","Zilverlaan","323","","",19-06-2026
"0696.795.936","REGO",,,"7500","Tournai","Tournai","Chaussée de Lille(TOU)","Chaussée de Lille(TOU)","204","","",
"0712.601.689","REGO",,,"2491","Balen","Balen","Oosthamsesteenweg","Oosthamsesteenweg","92","","",
"0713.875.458","REGO",,,"9850","Deinze","Deinze","Vosselarestraat","Vosselarestraat","54C","","",
"0717.807.918","REGO",,,"2000","Antwerpen","Antwerpen","Kattendijkdok-Oostkaai","Kattendijkdok-Oostkaai","78","","",
"0719.768.011","REGO",,,"2970","Schilde","Schilde","De Rest","De Rest","12","","",
"0725.422.022","REGO",,,"3680","Maaseik","Maaseik","Waagstraat","Waagstraat","1","","",
"0726.709.251","REGO",,,"1331","Rixensart","Rixensart","Chemin des Deux Fermes","Chemin des Deux Fermes","5","","",
"0727.609.272","REGO",,,"1410","Waterloo","Waterloo","Rue Dury (Emile)","Rue Dury (Emile)","63","","",
"0728.919.465","REGO",,,"7141","Morlanwelz","Morlanwelz","Rue de la Rosière(CAR)","Rue de la Rosière(CAR)","12","A000","",19-06-2026
"0737.376.083","REGO",,,"1800","Vilvoorde","Vilvoorde","Stationlei","Stationlei","69","","",19-06-2026
"0739.982.316","REGO",,,"2360","Oud-Turnhout","Oud-Turnhout","Schuurhovenberg","Schuurhovenberg","35","","",
"0740.753.663","REGO",,,"2300","Turnhout","Turnhout","Zevendonkplein","Zevendonkplein","5","","",
"0740.952.118","REGO",,,"9111","Sint-Niklaas","Sint-Niklaas","Kleemstraat","Kleemstraat","20","","",
"0741.575.688","REGO",,,"8870","Izegem","Izegem","Wallemotestraat","Wallemotestraat","31","3","",
"0742.709.204","REGO",,,"8510","Kortrijk","Kortrijk","Torkonjestraat(Mar)","Torkonjestraat(Mar)","25","","",
"0742.775.322","REGO",,,"3520","Zonhoven","Zonhoven","Hortweidenweg","Hortweidenweg","91","","",
"0742.890.633","REGO",,,"3583","Beringen","Beringen","Tervantstraat","Tervantstraat","268","","",
"0743.821.734","REGO",,,"8460","Oudenburg","Oudenburg","Eernegemsestraat","Eernegemsestraat","63","","",
"0744.639.603","REGO",,,"1650","Beersel","Beersel","Kasteelstraat","Kasteelstraat","95","","",
"0746.856.250","REGO",,,"4845","Jalhay","Jalhay","Stockay(SART)","Stockay(SART)","8","A","",
"0751.902.131","REGO",,,"1080","Sint-Jans-Molenbeek","Molenbeek-Saint-Jean","Vrijheidslaan","Avenue de la Liberté","175","","",19-06-2026
"0752.790.076","REGO",,,"9472","Denderleeuw","Denderleeuw","Parochiestraat","Parochiestraat","125","3","",
"0752.959.431","REGO",,,"9111","Sint-Niklaas","Sint-Niklaas","Kouterdreef","Kouterdreef","24","","",
"0754.401.068","REGO",,,"2870","Puurs-Sint-Amands","Puurs-Sint-Amands","Schoonmansveld","Schoonmansveld","48","","",
"0754.636.442","REGO",,,"1315","Incourt","Incourt","Rue Alphonse Robert","Rue Alphonse Robert","73","","",
"0757.787.655","REGO",,,"3500","Hasselt","Hasselt","Luchtvaartstraat","Luchtvaartstraat","12","","",
"0758.861.484","REGO",,,"7140","Morlanwelz","Morlanwelz","Allée du Charme(MLZ)","Allée du Charme(MLZ)","10","","",
"0759.413.295","REGO",,,"5100","Namur","Namur","Chaussée de Liège(JB)","Chaussée de Liège(JB)","624","","",
"0759.671.336","REGO",,,"1640","Sint-Genesius-Rode","Sint-Genesius-Rode","Merellaan","Avenue du Merle","56","","",
"0760.486.136","REGO",,,"3890","Gingelom","Gingelom","Mechelsestraat","Mechelsestraat","63","","",
"0760.795.348","REGO",,,"3140","Keerbergen","Keerbergen","Maria Sweeckstraat","Maria Sweeckstraat","5","","",
"0763.873.218","REGO",,,"9100","Sint-Niklaas","Sint-Niklaas","Hogenakkerstraat","Hogenakkerstraat","53","","",
"0763.912.711","REGO",,,"2640","Mortsel","Mortsel","Statielei","Statielei","56","2","",
"0765.879.336","REGO",,,"2580","Putte","Putte","Mechelbaan","Mechelbaan","462","","",
"0766.346.322","REGO",,,"1650","Beersel","Beersel","Kasteelstraat","Kasteelstraat","95","","",
"0767.683.338","REGO",,,"5060","Sambreville","Sambreville","Rue Raphaël(FAL)","Rue Raphaël(FAL)","1a","A","",
"0767.825.274","REGO",,,"1930","Zaventem","Zaventem","Da Vincilaan","Da Vincilaan","1","","",19-06-2026
"0770.666.879","REGO",,,"1300","Wavre","Wavre","Avenue Pasteur","Avenue Pasteur","6","","",
"0770.724.683","REGO",,,"8210","Zedelgem","Zedelgem","Schatting","Schatting","20D","","",
"0770.759.624","REGO",,,"1730","Asse","Asse","Brusselsesteenweg","Brusselsesteenweg","18","A","",19-06-2026
"0771.305.792","REGO",,,"8430","Middelkerke","Middelkerke","De Middelpolder","De Middelpolder","38","","",
"0772.897.681","REGO",,,"1930","Zaventem","Zaventem","Excelsiorlaan","Excelsiorlaan","71","","",19-06-2026
"0774.844.908","REGO",,,"3740","Bilzen-Hoeselt","Bilzen-Hoeselt","Maastrichterstraat","Maastrichterstraat","232","","",
"0778.706.793","REGO",,,"9190","Stekene","Stekene","Voorthoek(STE)","Voorthoek(STE)","104","","",
"0778.966.616","REGO","Nederland","Pays-Bas","1092AD","Amsterdam","Amsterdam","Mauritskade","Mauritskade","64","","",
"0780.911.267","REGO",,,"2650","Edegem","Edegem","Prins Boudewijnlaan","Prins Boudewijnlaan","215","","",
"0780.992.728","REGO",,,"1070","Anderlecht","Anderlecht","Industrielaan","Boulevard Industriel","9","","",19-06-2026
"0781.551.665","REGO",,,"1070","Anderlecht","Anderlecht","Industrielaan","Boulevard Industriel","9","","",19-06-2026
"0782.663.603","REGO",,,"1082","Sint-Agatha-Berchem","Berchem-Sainte-Agathe","Groot-Bijgaardenstraat","Rue de Grand-Bigard","14","","",19-06-2026
"0783.282.819","REGO",,,"1930","Zaventem","Zaventem","Da Vincilaan","Da Vincilaan","1","","",19-06-2026
"0784.774.639","REGO",,,"3980","Tessenderlo-Ham","Tessenderlo-Ham","Gerhagenstraat (C)","Gerhagenstraat (C)","99","","",
"0786.470.852","REGO",,,"2000","Antwerpen","Antwerpen","Tallinnstraat","Tallinnstraat","16","","",
"0786.598.041","REGO",,,"4420","Saint-Nicolas","Saint-Nicolas","Rue des Martyrs","Rue des Martyrs","115","","",
"0787.411.158","REGO",,,"1601","Sint-Pieters-Leeuw","Sint-Pieters-Leeuw","Beemdstraat","Beemdstraat","27","","",19-06-2026
"0787.683.253","REGO","Nederland","Pays-Bas","1101 BE","AMSTERDAM","AMSTERDAM","Hoogoorddreef","Hoogoorddreef","56R","","",
"0787.743.829","REGO",,,"1780","Wemmel","Wemmel","Koningin Astridlaan","Avenue Reine Astrid","59A","","",
"0788.980.677","REGO",,,"6043","Charleroi","Charleroi","Rue Albert Ier","Rue Albert Ier","34","A","",
"0789.770.337","REGO",,,"3500","Hasselt","Hasselt","Pastorijstraat","Pastorijstraat","39","","",
"0790.197.434","REGO",,,"8800","Roeselare","Roeselare","Kwadestraat","Kwadestraat","149","0.1.","",19-06-2026
"0791.337.777","REGO",,,"8930","Menen","Menen","Garennestraat","Garennestraat","4","","",
"0792.731.114","REGO",,,"1950","Kraainem","Kraainem","Sint Michielsdreef","Drève Saint Michel","21","","",
"0793.195.823","REGO",,,"1800","Vilvoorde","Vilvoorde","Guldenschaapstraat","Guldenschaapstraat","6","","",19-06-2026
"0793.276.985","REGO",,,"2930","Brasschaat","Brasschaat","Schansstraat","Schansstraat","45","2","",
"0793.655.384","REGO",,,"1861","Meise","Meise","Neromstraat","Neromstraat","28","","",
"0794.425.941","REGO",,,"2540","Hove","Hove","Azalealei","Azalealei","43","","",
"0794.810.971","REGO",,,"2270","Herenthout","Herenthout","Punt","Punt","31","","",19-06-2026
"0797.865.283","REGO",,,"6792","Aubange","Aubange","Rue Saint-Remy - HALANZY","Rue Saint-Remy - HALANZY","4","","",
"0798.146.979","REGO",,,"2560","Nijlen","Nijlen","Bouwelsesteenweg","Bouwelsesteenweg","114","1","",
"0798.237.546","REGO",,,"7850","Enghien","Enghien","Mezenlaan(P.E.)","Allée des Mésanges(P.E.)","1","","",
"0799.982.061","REGO",,,"3740","Bilzen-Hoeselt","Bilzen-Hoeselt","Arnold Judongstraat","Arnold Judongstraat","1","","",
"0800.465.675","REGO",,,"2880","Bornem","Bornem","Het Zand(HIN)","Het Zand(HIN)","10","","",
"0800.814.776","REGO",,,"3950","Bocholt","Bocholt","Herenhoef","Herenhoef","1","","",
"0801.634.130","REGO",,,"1800","Vilvoorde","Vilvoorde","Leuvensestraat","Leuvensestraat","22B","","",
"0801.862.475","REGO",,,"1600","Sint-Pieters-Leeuw","Sint-Pieters-Leeuw","Bergensesteenweg","Bergensesteenweg","421","14/132","",
"0801.873.264","REGO",,,"1050","Elsene","Ixelles","Louizalaan","Avenue Louise","209 A","7","",19-06-2026
"0802.336.191","REGO","Nederland","Pays-Bas","3846AX","Harderwijk","Harderwijk","Lorentzstraat","Lorentzstraat","24","","",
"0802.578.493","REGO",,,"3660","Oudsbergen","Oudsbergen","Industrieweg-Noord","Industrieweg-Noord","1193","","",
"0803.627.677","REGO",,,"4990","Lierneux","Lierneux","Petit-Sart","Petit-Sart","23","","",
"0804.356.068","REGO",,,"8400","Oostende","Oostende","Gistelsesteenweg","Gistelsesteenweg","71","","",
"0804.549.969","REGO",,,"1000","Brussel","Bruxelles","Koning Albert II-laan","Boulevard du Roi Albert II","4","","",
"0805.285.090","REGO",,,"2930","Brasschaat","Brasschaat","Olmelei","Olmelei","3","","",
"0805.391.097","REGO",,,"8800","Roeselare","Roeselare","Kwadestraat","Kwadestraat","149","1","",19-06-2026
"0805.830.864","REGO",,,"9880","Aalter","Aalter","Nieuwe Dreef","Nieuwe Dreef","13","","",
"0806.791.461","REGO",,,"3350","Linter","Linter","Graaf de T'Serclaesstraat(WOM)","Graaf de T'Serclaesstraat(WOM)","9","","",19-06-2026
"0806.855.007","REGO",,,"1050","Elsene","Ixelles","Louizalaan","Avenue Louise","231","","",
"0807.905.971","REGO",,,"7540","Tournai","Tournai","Rue du Follet(K)","Rue du Follet(K)","10","4","",
"0810.506.957","REGO",,,"2580","Putte","Putte","Heiststeenweg","Heiststeenweg","57","","",
"0819.570.519","REGO",,,"6183","Courcelles","Courcelles","Rue de Gosselies(TR)","Rue de Gosselies(TR)","225","","",
"0821.499.532","REGO",,,"4040","Herstal","Herstal","Parc Ind. des Hauts Sarts, 1e av","Parc Ind. des Hauts Sarts, 1e av","265","","",
"0823.726.671","REGO",,,"8400","Oostende","Oostende","Hendrik Serruyslaan","Hendrik Serruyslaan","52",".0102","",
"0824.378.254","REGO",,,"1000","Brussel","Bruxelles","Maurice Lemonnierlaan","Boulevard Maurice Lemonnier","67","","",
"0824.970.647","REGO",,,"1380","Lasne","Lasne","Chaussée de Louvain","Chaussée de Louvain","420","","",19-06-2026
"0826.145.238","REGO",,,"2845","Niel","Niel","Boomsestraat","Boomsestraat","ZN","","",
"0828.852.231","REGO",,,"4845","Jalhay","Jalhay","Stockay(SART)","Stockay(SART)","8","A","",
"0830.169.352","REGO",,,"8460","Oudenburg","Oudenburg","Goedeboterstraat","Goedeboterstraat","70/A","","",19-06-2026
"0834.862.469","REGO",,,"7330","Saint-Ghislain","Saint-Ghislain","Cité Petite Propriété Terrienne","Cité Petite Propriété Terrienne","2","5","",
"0835.001.437","REGO",,,"8434","Middelkerke","Middelkerke","Koning Ridderdijk","Koning Ridderdijk","27","203","",
"0835.775.853","REGO",,,"9300","Aalst","Aalst","Boterstraat","Boterstraat","6","","",
"0837.703.876","REGO",,,"4987","Stoumont","Stoumont","Route de l'Amblève","Route de l'Amblève","12","","",
"0838.627.653","REGO",,,"4960","Malmedy","Malmedy","Meiz-Chemin de la Herde","Meiz-Chemin de la Herde","3","","",
"0844.355.702","REGO",,,"9620","Zottegem","Zottegem","Trapstraat","Trapstraat","16","","",
"0845.025.792","REGO",,,"2930","Brasschaat","Brasschaat","Bredabaan","Bredabaan","981","","",
"0866.302.347","REGO",,,"3212","Lubbeek","Lubbeek","Kerkweg(PEL)","Kerkweg(PEL)","11","","",
"0869.663.101","REGO",,,"6740","Etalle","Etalle","Grand-Rue,Ste-Marie","Grand-Rue,Ste-Marie","219B","","",
"0872.940.117","REGO",,,"4000","Liège","Liège","Place du Haut-pré","Place du Haut-pré","10","","",
"0874.211.609","REGO",,,"1070","Anderlecht","Anderlecht","Tulpenplein","Place des Tulipes","15","","",
"0879.381.412","REGO",,,"2000","Antwerpen","Antwerpen","Frankrijklei","Frankrijklei","133","","",
"0879.668.848","REGO",,,"3540","Herk-de-Stad","Herk-de-Stad","Grote Hoolstraat","Grote Hoolstraat","39","","",
"0879.819.692","REGO",,,"9300","Aalst","Aalst","Vlaanderenstraat","Vlaanderenstraat","11","","",
"0882.588.449","REGO",,,"7390","Quaregnon","Quaregnon","Rue de la Poudrière","Rue de la Poudrière","82","","",
"0886.207.242","REGO",,,"9051","Gent","Gent","Jean-Baptiste de Ghellincklaan","Jean-Baptiste de Ghellincklaan","31","/001","",
"0886.648.096","REGO",,,"9940","Evergem","Evergem","Hoeksken","Hoeksken","25","","",
"0891.902.726","REGO",,,"1082","Sint-Agatha-Berchem","Berchem-Sainte-Agathe","Groot-Bijgaardenstraat","Rue de Grand-Bigard","14","","",19-06-2026
"0891.939.942","REGO",,,"1000","Brussel","Bruxelles","de Meeûssquare","Square de Meeûs","38-40","","",
"0892.964.380","REGO",,,"1000","Brussel","Bruxelles","Grote Zavel","Place du Grand Sablon","39","","",
"0899.153.079","REGO",,,"1602","Sint-Pieters-Leeuw","Sint-Pieters-Leeuw","Beersbrugstraat","Beersbrugstraat","68","","",
"0899.402.608","REGO",,,"8380","Brugge","Brugge","Lanceloot Blondeellaan","Lanceloot Blondeellaan","11","","",
"1000.054.459","REGO",,,"9000","Gent","Gent","Ottergemsesteenweg-Zuid","Ottergemsesteenweg-Zuid","808","b246","",
"1000.623.789","REGO",,,"1080","Sint-Jans-Molenbeek","Molenbeek-Saint-Jean","Vrijheidslaan","Avenue de la Liberté","175","","",27-04-2026
"1001.043.661","REGO",,,"5651","Walcourt","Walcourt","Rue de Sausy(Tar)","Rue de Sausy(Tar)","40","","",
"1001.220.142","REGO",,,"1780","Wemmel","Wemmel","Lt. Graffplein","Place Lt. Graff","15","","",19-06-2026
"1001.338.324","REGO",,,"1000","Brussel","Bruxelles","Stalingradlaan","Avenue de Stalingrad","52","","",19-06-2026
"1002.178.066","REGO",,,"4537","Verlaine","Verlaine","Voie du Bosquet(VER)","Voie du Bosquet(VER)","2B","","",
"1002.423.239","REGO",,,"4000","Liège","Liège","Avenue Rogier","Avenue Rogier","16","1","",
"1003.961.876","REGO",,,"3540","Herk-de-Stad","Herk-de-Stad","Steenweg","Steenweg","3","402","",
"1005.816.754","REGO",,,"8531","Harelbeke","Harelbeke","Oostrozebeeksestraat","Oostrozebeeksestraat","27","","",
"1006.096.965","REGO",,,"8800","Roeselare","Roeselare","Kwadestraat","Kwadestraat","149","0.1","",19-06-2026
"1006.925.029","REGO",,,"2491","Balen","Balen","Olmense Markt","Olmense Markt","11","","",19-06-2026
"1008.122.087","REGO",,,"1780","Wemmel","Wemmel","Is. Meyskensstraat","Rue Is. Meyskens","224","9-10","",
"1009.076.053","REGO",,,"2830","Willebroek","Willebroek","Boomsesteenweg","Boomsesteenweg","91","","",
"1009.569.070","REGO",,,"4100","Seraing","Seraing","Rue Solvay","Rue Solvay","90","","",
"1009.626.280","REGO",,,"1780","Wemmel","Wemmel","Is. Meyskensstraat","Rue Is. Meyskens","224","9-10","",
"1009.969.146","REGO",,,"9450","Haaltert","Haaltert","Heldergemstraat(HE)","Heldergemstraat(HE)","72","","",
"1010.567.279","REGO",,,"7000","Mons","Mons","Rue d'Havré","Rue d'Havré","57","","",
"1011.282.012","REGO",,,"9050","Gent","Gent","Pol De Vischstraat","Pol De Vischstraat","15","1","",
"1011.433.945","REGO",,,"9160","Lokeren","Lokeren","Mosten","Mosten","7A","","",
"1012.783.631","REGO",,,"1040","Etterbeek","Etterbeek","Vijverstraat","Rue de l'Etang","56","89","",
"1012.911.810","REGO",,,"1080","Sint-Jans-Molenbeek","Molenbeek-Saint-Jean","Vrijheidslaan","Avenue de la Liberté","175","","",19-06-2026
"1013.233.591","REGO",,,"1932","Zaventem","Zaventem","Leuvensesteenweg","Leuvensesteenweg","246","","",
"1013.628.620","REGO",,,"9000","Gent","Gent","Korianderstraat","Korianderstraat","2","G","",
"1013.702.359","REGO",,,"3600","Genk","Genk","Sint-Lodewijkstraat","Sint-Lodewijkstraat","56","11","",
"1014.754.117","REGO",,,"1730","Asse","Asse","Brusselsesteenweg","Brusselsesteenweg","18A","","",19-06-2026
"1015.442.718","REGO",,,"9280","Lebbeke","Lebbeke","Brusselsesteenweg","Brusselsesteenweg","91","","",19-06-2026
"1015.764.994","REGO",,,"9100","Sint-Niklaas","Sint-Niklaas","Bekelstraat","Bekelstraat","137","","",
"1015.772.122","REGO",,,"1000","Brussel","Bruxelles","Stalingradlaan","Avenue de Stalingrad","52","","",
"1016.726.878","REGO",,,"4250","Geer","Geer","Rue Gérard Waelkens(GR)","Rue Gérard Waelkens(GR)","9","","",19-06-2026
"1016.897.322","REGO",,,"3500","Hasselt","Hasselt","Frans Tempelsstraat","Frans Tempelsstraat","1","1","",
"1017.215.937","REGO",,,"3580","Beringen","Beringen","Nijverheidsstraat","Nijverheidsstraat","29","c008","",
"1019.658.159","REGO",,,"7618","Rumes","Rumes","Rue de la Déroderie(T)","Rue de la Déroderie(T)","79","A","",
"1019.765.750","REGO",,,"1435","Mont-Saint-Guibert","Mont-Saint-Guibert","Boucle Jean-François Breuer","Boucle Jean-François Breuer","20","304","",
"1020.232.934","REGO",,,"1301","Wavre","Wavre","Rue des Combattants","Rue des Combattants","160","","",
"1020.473.256","REGO",,,"3530","Houthalen-Helchteren","Houthalen-Helchteren","Sint-Trudoplein","Sint-Trudoplein","7","3-1","",
"1021.620.430","REGO",,,"1000","Brussel","Bruxelles","Werkhuizenkaai","Quai des Usines","160","","",19-06-2026
"1021.789.585","REGO",,,"9870","Zulte","Zulte","Doornstraat","Doornstraat","17","G000","",
